ont_condition	emseq_truth	auc	n_calls
HG002 frozen	HG002 EMSeq	0.93053	248767707
HG002 frozen	HG003 EMSeq	0.84817	218218466
HG002 frozen	HG004 EMSeq	0.86925	180134806
HG002 ensilicated	HG002 EMSeq	0.93039	209203511
HG002 ensilicated	HG003 EMSeq	0.84759	183690410
HG002 ensilicated	HG004 EMSeq	0.86855	150848895
HG003 frozen	HG002 EMSeq	0.87335	207432564
HG003 frozen	HG003 EMSeq	0.86293	182477819
HG003 frozen	HG004 EMSeq	0.91235	152094128
HG003 ensilicated	HG002 EMSeq	0.87597	173486366
HG003 ensilicated	HG003 EMSeq	0.86566	152436525
HG003 ensilicated	HG004 EMSeq	0.91487	126753492
HG004 frozen	HG002 EMSeq	0.86583	166323891
HG004 frozen	HG003 EMSeq	0.91017	146060145
HG004 frozen	HG004 EMSeq	0.88039	120517918
HG004 ensilicated	HG002 EMSeq	0.86947	176168047
HG004 ensilicated	HG003 EMSeq	0.91305	154693497
HG004 ensilicated	HG004 EMSeq	0.88392	126291588
