wgbs_file,ont_file,pearson_r,p_value,n_overlap
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9204218225174694,0.0,27770336
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9243225424669012,0.0,27794317
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7850622295787414,0.0,27752365
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7961598984227108,0.0,27644771
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7847743733241116,0.0,27749333
EMSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7994369950463647,0.0,27661558
TruSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8687534300783338,0.0,26579686
TruSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8723432325711421,0.0,26598662
TruSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7384710276321699,0.0,26561232
TruSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7506714837605439,0.0,26473743
TruSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.738482697204832,0.0,26560766
TruSeq_HG002_LAB01_REP01.converted.bedGraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7537024581550442,0.0,26486804
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8125395738415002,0.0,27645503
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8160027267029846,0.0,27670113
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8222843405134574,0.0,27633814
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8922010256114723,0.0,27650977
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8221425554448586,0.0,27629921
EMSeq_HG004_LAB01_REP01.converted.bedGraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8958377225632775,0.0,27666239
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3032_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.7929950243982345,0.0,27758942
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3033_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.796117548262766,0.0,27784205
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3029_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9059251280025098,0.0,27770567
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3030_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8130933896770776,0.0,27640764
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3028_Cache.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.9056942392481669,0.0,27767119
EMSeq_HG003_LAB01_REP01.converted.bedGraph,CD_3031_GIAB.methyl.aligned.sorted.cpg_m_CG0_combined.bedgraph,0.8161139280340004,0.0,27658275
